Order;Family;Genus;Species;Taxon;Species_english;Origin;Distribution;Distr_recent;habitat;habitat_short;migratory_status;diet;Likelihood;new_rank;new_name;comments;group
Passeriformes;Paridae;Cyanistes;Cyanistes caeruleus;Cyanistes caeruleus;Blue Tit;Palaearctic;Palaearctic;yes;any, forest, shrubland;diverse;resident;invertebrates;medium;species;Cyanistes caeruleus;;small_birds
Passeriformes;Paridae;Parus;Parus major;Parus major;Great Tit;Palaearctic;Palaearctic;yes;shrubs, forest;forest;resident;invertebrates;medium;species;Parus major;;small_birds
Passeriformes;Paridae;Pseudopodoces;Pseudopodoces humilis;Pseudopodoces humilis;Ground Tit;Palaearctic;Palaearctic;no;open, mountainous;open;resident;herbivore;medium;species;Pseudopodoces humilis;Central Asia;small_birds
Passeriformes;Passerellidae;Melospiza;Melospiza georgiana;Melospiza georgiana;Swamp Sparrow;Nearctic;Nearctic;no;marshes;water;medium-distance;invertebrates;low;genus;Melospiza;some species in genus occur in Alaska, M. licolnii;small_birds
Passeriformes;Passerellidae;Melozone;Melozone crissalis;Melozone crissalis;California Towhee;Nearctic;Nearctic;no;open woodland;shrubland;resident;herbivore;low;family;Passerellidae;genus does not occur in northern Nearctis;small_birds
Passeriformes;Passerellidae;Zonotrichia;Zonotrichia albicollis;Zonotrichia albicollis;White-throated Sparrow;Nearctic;Nearctic;yes;shrubland, forest;shrubland;medium-distance;herbivore;medium;genus;Zonotrichia;New World sparrows (closer to buntings), USA up tp Canada;small_birds
Passeriformes;Passeridae;Montifringilla;NA;Montifringilla;NA;Palaearctic;Palaearctic;yes;open, mountainous;open;resident;herbivore;high;genus;Montifringilla;;small_birds
Passeriformes;Passeridae;Onychostruthus;Onychostruthus taczanowskii;Onychostruthus taczanowskii;White-rumped Snowfinch;Palaearctic;Palaearctic;no;open, mountainous;open;resident;herbivore;high;species;Onychostruthus;Central Asia;small_birds
Passeriformes;Passeridae;Passer;Passer montanus;Passer montanus;Tree Sparrow;Palaearctic;Palaearctic;yes;open, shrubs;diverse;resident;herbivore;medium;species;Passer montanus;;small_birds
Passeriformes;Passeridae;Pyrgilauda;Pyrgilauda ruficollis;Pyrgilauda ruficollis;Rufous-necked Snowfinch;Palaearctic;Palaearctic;no;open, mountainous;open;resident;herbivore;high;genus;Pyrgilauda;Central Asia;small_birds
